Id,Name,Vorname,Titel,Partei,Wahlkreis,WahlkreisOrderBy
343029ed-ede8-403a-a6ed-3c4413034601,Fehr Düsel,Nina,,SVP,,0
e30635f4-37c6-44bb-b460-8649ba1270ae,Feuillet,Dominique,,SP,,0
de767784-8e33-4d44-894b-0848eb20e367,Fiala,Doris,,FDP,,0
a182141c-261c-4244-a5a0-cd3781a345be,Filli,Peider,,Grüne,,0
bbe09b45-bd66-4d35-b800-b722d6576feb,Fischer,Renate,,SP,1 und 2,100
8ef1bf9d-63aa-4999-9ac6-0b3ee16c838f,Föhn,Roger,,EVP,12,108
d754f695-eb1a-43c7-b867-6bbe0fabacaa,Frei,Dorothea,,SP,12,108
b1adc872-1779-4acd-8517-7c7a47f53829,Fritz,Max,,FDP,,0
fb327c9d-1574-4545-88f9-188d96ba3989,Früh,Anjushka,,SP,11,107
9f155c63-f755-4bbd-b1b8-dd8e7ad4421e,Fürer,Brigitte,,Grüne,4 und 5,102
795532bc-45a7-47d0-ba57-ddf447f87e91,Furrer,Werner,,SVP,,0
0835b8a6-5a92-42e5-950f-64253d45f9ac,Furter,Willy,Prof. Dr.,EVP,,0
096e6b8a-6e06-4182-951a-09d4a8469aa8,Gafner,Karl,,FDP,,0
6a6e0c52-3ae0-48d3-b7d3-a9412dad103b,Garcia,Isabel,,GLP, 3,101
4a1be35e-3f69-48a4-85b1-3fee07b006ae,Garcia Nuñez,David,Dr.,AL,4 und 5,102
e18ef781-2583-4998-838c-8dd5ff064214,Garzotto,Bruno,,SVP,,0
61d92382-31d3-44f4-940a-8c2185285915,Garzotto,Marina,,SVP,,0
3f57f384-aaa0-4d7f-a359-95d12086624d,Gautschi,Adrian,,GLP,,0
376897a5-5c3c-432e-b6c9-b3f1d11f249e,Geissbühler,Marco,,SP, 3,101
c2adc537-639b-4854-864f-0c40312563ad,Giger,Nicole,,SP,11,107
969d3c6e-4876-417e-a1d7-959c832888f1,Girod,Bastien,,Grüne,,0
a16b6fb2-be42-44d1-8918-4e10a16db46c,Glaser,Helen,,SP,7 und 8,104
9a64062b-516b-427b-81f8-e5506fb13e54,Glättli,Balthasar,,Grüne,,0
a2c59a56-f498-4b31-bd0d-270e54146fcc,Götzl,Martin,,SVP,11,107
511379f5-caf5-4e98-a5cc-56f559e4bf21,Grabherr,Emil,,SVP,,0
98059229-2eb1-4285-99f9-f15e21aaa589,Graf,Davy,Dr.,SP, 9,105
99092dec-7524-49df-8c7b-eca0a932d36a,Graf,Franziska,,SP,,0
5dfad4ba-ba11-4199-8cf4-1f2e6351429f,Gredig,Corina,,GLP,,0
fa637579-1013-42c3-a5fb-6a7a40d4680b,Gross,Andreas,,SP,,0
1ff885f7-bfc1-4bf6-9111-1ae66adfa373,Guggenheim,Eduard,,AL,,0
58903222-1ef5-4db9-b2a8-094c0e8107b6,Güntensperger-Alioth,Elisabeth,,SP,,0
92a63be3-aaf2-4d18-b29a-1250622a758d,Gut,Christoph,Dr.,SP,,0
c2bbf1bc-efad-42a2-a457-c795b49eac17,Gut,Susi,,PFZ,,0
bf2bf7c0-69e8-4d93-81df-15268313c83b,Habicher,Lorenz,,SVP,,0
67959f07-7ea8-42a8-916c-feb27fee0780,Hagger,Joachim,,FDP,,0
ae88d9a8-b8c6-4933-88b2-2364ab95a3b9,Haller,Margrit,,SVP,,0
79837587-dee2-41dc-8e12-08c363213e79,Halser-Furrer,Michèle,,EVP,,0
7b332837-0fd1-4b5c-89ed-1a6dae43b783,Hänni-Etter,Cäcilia,,FDP,,0
